skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q270066,Всемирный торговый центр 7,225,52,США,Манхэттен,2006,Дэвид Мэги Чайлдс
http://www.wikidata.org/entity/Q234368,MiMA,204,63,США,Манхэттен,2011,Arquitectonica
http://www.wikidata.org/entity/Q262041,Американ-интернешнл-билдинг,290.2,67,США,Манхэттен,1932,Clinton and Russell
http://www.wikidata.org/entity/Q245308,599 Lexington Avenue,199,50,США,Манхэттен,1986,Edward Larrabee Barnes
http://www.wikidata.org/entity/Q317034,Международный коммерческий центр,484,108,Китай,Яучиммон,2010,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q245246,Башня CITIC,390.2,80,Китай,Гуанчжоу,1997,DLN Architects
http://www.wikidata.org/entity/Q264858,M Resort,,,США,Невада,2009,
http://www.wikidata.org/entity/Q321291,Майнтауэр,240,56,Германия,Инненштадт I,1999,
http://www.wikidata.org/entity/Q227873,375 Pearl Street,160,32,США,Манхэттен,1976,
http://www.wikidata.org/entity/Q333305,OUB Centre,280,63,Сингапур,Раффлз-плейс,1986,Кэндзо Тангэ
http://www.wikidata.org/entity/Q282968,Postgirobygget,,,Норвегия,Осло,1975,
http://www.wikidata.org/entity/Q328505,Башня Банка Америки,365.8,54,США,Нью-Йорк,2009,Cookfox
